time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2019-11-30T18:30:00.0000000Z,2019-11-30T19:00:00.0000000Z,2019-11-30T18:30:00.6490000Z,2019-11-30T18:57:59.9120000Z,151.08,151.25,150.02,150.2,375.53273289,68
2019-11-30T19:00:00.0000000Z,2019-11-30T19:30:00.0000000Z,2019-11-30T19:00:53.8160000Z,2019-11-30T19:29:26.9110000Z,150.64,151.41,150.5,151.18,371.1928323,61
2019-11-30T19:30:00.0000000Z,2019-11-30T20:00:00.0000000Z,2019-11-30T19:31:40.7160000Z,2019-11-30T19:58:50.8180000Z,151.29,151.29,150.49,150.8,525.20639024,63
2019-11-30T20:00:00.0000000Z,2019-11-30T20:30:00.0000000Z,2019-11-30T20:00:01.2370000Z,2019-11-30T20:28:41.8050000Z,150.72,151.06,150.39,150.77,78.52316202,31
2019-11-30T20:30:00.0000000Z,2019-11-30T21:00:00.0000000Z,2019-11-30T20:30:09.8810000Z,2019-11-30T20:57:19.5760000Z,150.54,151.08,150.3,151.08,288.95173083,56
2019-11-30T21:00:00.0000000Z,2019-11-30T21:30:00.0000000Z,2019-11-30T21:00:10.9610000Z,2019-11-30T21:27:20.6070000Z,151.06,151.52,151.0,151.46,328.80926807,42
2019-11-30T21:30:00.0000000Z,2019-11-30T22:00:00.0000000Z,2019-11-30T21:30:26.8940000Z,2019-11-30T21:59:18.1750000Z,151.42,152.01,151.27,152.0,102.93109303,56
2019-11-30T22:00:00.0000000Z,2019-11-30T22:30:00.0000000Z,2019-11-30T22:00:33.7230000Z,2019-11-30T22:29:34.1390000Z,152.06,152.74,151.89,151.9,1708.79475711,117
2019-11-30T22:30:00.0000000Z,2019-11-30T23:00:00.0000000Z,2019-11-30T22:30:50.7420000Z,2019-11-30T22:59:24.2110000Z,151.89,151.89,151.55,151.56,187.42577869,51
2019-11-30T23:00:00.0000000Z,2019-11-30T23:30:00.0000000Z,2019-11-30T23:00:41.0020000Z,2019-11-30T23:28:45.2150000Z,151.57,152.0,151.57,152.0,173.82746936,40
2019-11-30T23:30:00.0000000Z,2019-12-01T00:00:00.0000000Z,2019-11-30T23:33:29.4070000Z,2019-11-30T23:59:16.4470000Z,152.17,152.33,151.74,151.74,153.59390118,51
2019-12-01T00:00:00.0000000Z,2019-12-01T00:30:00.0000000Z,2019-12-01T00:00:13.7370000Z,2019-12-01T00:29:42.4080000Z,151.61,151.61,150.5,150.55,239.30649029,101
2019-12-01T00:30:00.0000000Z,2019-12-01T01:00:00.0000000Z,2019-12-01T00:30:32.4520000Z,2019-12-01T00:59:10.9200000Z,150.51,151.02,150.43,150.56,266.03338143,77
2019-12-01T01:00:00.0000000Z,2019-12-01T01:30:00.0000000Z,2019-12-01T01:00:39.2940000Z,2019-12-01T01:29:54.8550000Z,150.67,150.86,148.18,148.5,1303.90362223,284
2019-12-01T01:30:00.0000000Z,2019-12-01T02:00:00.0000000Z,2019-12-01T01:30:15.9750000Z,2019-12-01T01:59:45.6240000Z,148.35,149.17,148.0,148.51,564.48996239,173
2019-12-01T02:00:00.0000000Z,2019-12-01T02:30:00.0000000Z,2019-12-01T02:00:20.3050000Z,2019-12-01T02:26:57.9600000Z,148.5,149.0,147.31,149.0,2919.05788908,214
2019-12-01T02:30:00.0000000Z,2019-12-01T03:00:00.0000000Z,2019-12-01T02:31:35.5340000Z,2019-12-01T02:59:59.6680000Z,148.95,148.99,146.34,146.71,767.68105291,149
